click_id,time_rel,time_abs,x,y,objects
1,5.63798713684082,2025-09-24T21:10:10.498883,602,334,
2,6.787991285324097,2025-09-24T21:10:11.648887,436,280,
3,7.41793417930603,2025-09-24T21:10:12.278830,575,432,
4,12.934978246688843,2025-09-24T21:10:17.795874,419,467,
5,14.561941862106323,2025-09-24T21:10:19.422838,331,492,
6,15.178180932998657,2025-09-24T21:10:20.039077,365,512,Linha 4
7,16.657240629196167,2025-09-24T21:10:21.518137,433,451,Linha 4
8,18.398012161254883,2025-09-24T21:10:23.258908,162,79,Ponto 3
9,19.305381536483765,2025-09-24T21:10:24.166277,173,154,
10,20.452712297439575,2025-09-24T21:10:25.313608,201,285,Ponto 3
11,21.870418787002563,2025-09-24T21:10:26.731315,672,378,Ponto 2
12,23.287128925323486,2025-09-24T21:10:28.148025,581,300,Ponto 2
13,24.210839986801147,2025-09-24T21:10:29.071736,505,254,Ponto 2
14,24.994144439697266,2025-09-24T21:10:29.855040,469,218,
15,25.84180736541748,2025-09-24T21:10:30.702703,399,175,Ponto 2
16,28.058088541030884,2025-09-24T21:10:32.918985,780,479,Linha 0
17,28.902575492858887,2025-09-24T21:10:33.763471,713,416,
18,29.66518235206604,2025-09-24T21:10:34.526078,651,337,Linha 0
19,34.052605867385864,2025-09-24T21:10:38.913502,69,606,
20,34.74812865257263,2025-09-24T21:10:39.609025,100,607,
21,35.669259786605835,2025-09-24T21:10:40.530156,887,63,
