tipo,qnt_points,delaunay_mean,delaunay_std,voronoi_mean,voronoi_std
uniform,100,0.0018775400007143618,0.001098314803993182,0.0016063000017311423,0.0001373873750030482
uniform,200,0.0022180599975399674,0.00022822002766314766,0.0028876200085505843,0.0003701071582973893
uniform,500,0.0038492600026074795,0.0008169125817699577,0.005401919997530058,0.0014448961541840089
uniform,1000,0.004241579998051748,0.0005921946625588758,0.006545620010001585,0.0016224742614351292
uniform,2000,0.010812399996211752,0.0031596767269512498,0.014067340001929551,0.0011875527671496606
uniform,5000,0.024167259997921065,0.006478147989516519,0.03387278000009246,0.0028279431037007943
uniform,10000,0.08792531999642961,0.03937986912127778,0.13212382000056094,0.04589006993935024
uniform,15000,0.11272910000407137,0.03952735206840619,0.21602900000871159,0.060247169053551715
uniform,20000,0.15826658000005409,0.025042608850812914,0.29982763999723827,0.058098952009016006
uniform,100000,1.0585848800081294,0.21012033681587958,1.7027320999943185,0.3120452483912919
cluster,100,0.0041405799973290415,0.0004991647506608825,0.004780780000146478,0.0004239100275078984
cluster,200,0.004833540000254289,0.002749985701194915,0.006673019990557805,0.004114205268506181
cluster,500,0.006406280002556742,0.0009556337252862448,0.009738839999772608,0.0012104139939606625
cluster,1000,0.013824740005657078,0.0010863181821343694,0.018246059998637064,0.002383491010288399
cluster,2000,0.020932179997907953,0.006149527831698282,0.029434620001120494,0.009331980815405852
cluster,5000,0.061332960007712246,0.013011920139860751,0.08832089999341405,0.021982073769534732
cluster,10000,0.09822568000527099,0.01717992738368999,0.16809088000445627,0.028507671726510385
cluster,15000,0.1402321000059601,0.028487381540927524,0.277344199991785,0.029135227308842063
cluster,20000,0.2190974800090771,0.03883366510696963,0.3187836399883963,0.03491197364951429
cluster,100000,1.2841533999948296,0.2184331120422483,2.0528890799963846,0.3081319992869262
grid,100,0.0041204400011338295,0.0007435668726895627,0.004812980000860989,0.0012346299185195843
grid,200,0.0060048800078220665,0.001116811024686959,0.006810059997951612,0.0017241971261772065
grid,500,0.00597098000580445,0.0017800230649648477,0.008310339995659888,0.002588111734096926
grid,1000,0.01351133999414742,0.0016763224774253966,0.020325340004637836,0.0033925171915089726
grid,2000,0.025115820002974944,0.004686535711677446,0.03596641999902204,0.006433115987159583
grid,5000,0.05465201999759302,0.010668974526252003,0.09898160000448115,0.02109067672190375
grid,10000,0.16101714000105857,0.016237513560790586,0.21633275999920443,0.009295433819016242
grid,15000,0.2048075600003358,0.041290643963477106,0.2987222399970051,0.06425050357352291
grid,20000,0.22691489999415354,0.025688213061261577,0.3295937000075355,0.04086700855573154
grid,100000,1.5043815399927554,0.09584271639344571,2.3102125800040083,0.12678737771652696
